No.,Column,Description,Data Type
1, state," US state (by number) - not counted as predictive above, but if considered, should be consided nominal ",nominal
2, county," numeric code for county - not predictive, and many missing values ",numeric
3, community, numeric code for community - not predictive and many missing values ,numeric
4, communityname, community name - not predictive - for information only ,string
5, fold," fold number for non-random 10 fold cross validation, potentially useful for debugging, paired tests - not predictive ",numeric
6, population, population for community,numeric - decimal
7, householdsize, mean people per household ,numeric - decimal
8, racepctblack, percentage of population that is african american ,numeric - decimal
9, racePctWhite, percentage of population that is caucasian ,numeric - decimal
10, racePctAsian, percentage of population that is of asian heritage ,numeric - decimal
11, racePctHisp, percentage of population that is of hispanic heritage ,numeric - decimal
12, agePct12t21, percentage of population that is 12-21 in age ,numeric - decimal
13, agePct12t29, percentage of population that is 12-29 in age ,numeric - decimal
14, agePct16t24, percentage of population that is 16-24 in age ,numeric - decimal
15, agePct65up, percentage of population that is 65 and over in age ,numeric - decimal
16, numbUrban, number of people living in areas classified as urban ,numeric - decimal
17, pctUrban, percentage of people living in areas classified as urban ,numeric - decimal
18, medIncome, median household income ,numeric - decimal
19, pctWWage, percentage of households with wage or salary income in 1989 ,numeric - decimal
20, pctWFarmSelf, percentage of households with farm or self employment income in 1989 ,numeric - decimal
21, pctWInvInc, percentage of households with investment / rent income in 1989 ,numeric - decimal
22, pctWSocSec, percentage of households with social security income in 1989 ,numeric - decimal
23, pctWPubAsst, percentage of households with public assistance income in 1989 ,numeric - decimal
24, pctWRetire, percentage of households with retirement income in 1989 ,numeric - decimal
25, medFamInc, median family income (differs from household income for non-family households) ,numeric - decimal
26, perCapInc, per capita income ,numeric - decimal
27, whitePerCap, per capita income for caucasians ,numeric - decimal
28, blackPerCap, per capita income for african americans ,numeric - decimal
29, indianPerCap, per capita income for native americans ,numeric - decimal
30, AsianPerCap, per capita income for people with asian heritage ,numeric - decimal
31, OtherPerCap, per capita income for people with 'other' heritage ,numeric - decimal
32, HispPerCap, per capita income for people with hispanic heritage ,numeric - decimal
33, NumUnderPov, number of people under the poverty level ,numeric - decimal
34, PctPopUnderPov, percentage of people under the poverty level ,numeric - decimal
35, PctLess9thGrade, percentage of people 25 and over with less than a 9th grade education ,numeric - decimal
36, PctNotHSGrad, percentage of people 25 and over that are not high school graduates ,numeric - decimal
37, PctBSorMore, percentage of people 25 and over with a bachelors degree or higher education ,numeric - decimal
38, PctUnemployed," percentage of people 16 and over, in the labor force, and unemployed ",numeric - decimal
39, PctEmploy, percentage of people 16 and over who are employed ,numeric - decimal
40, PctEmplManu, percentage of people 16 and over who are employed in manufacturing ,numeric - decimal
41, PctEmplProfServ, percentage of people 16 and over who are employed in professional services ,numeric - decimal
42, PctOccupManu, percentage of people 16 and over who are employed in manufacturing ,numeric - decimal
43, PctOccupMgmtProf, percentage of people 16 and over who are employed in management or professional occupations ,numeric - decimal
44, MalePctDivorce, percentage of males who are divorced ,numeric - decimal
45, MalePctNevMarr, percentage of males who have never married ,numeric - decimal
46, FemalePctDiv, percentage of females who are divorced ,numeric - decimal
47, TotalPctDiv, percentage of population who are divorced ,numeric - decimal
48, PersPerFam, mean number of people per family ,numeric - decimal
49, PctFam2Par, percentage of families (with kids) that are headed by two parents ,numeric - decimal
50, PctKids2Par, percentage of kids in family housing with two parents ,numeric - decimal
51, PctYoungKids2Par, percent of kids 4 and under in two parent households ,numeric - decimal
52, PctTeen2Par, percent of kids age 12-17 in two parent households ,numeric - decimal
53, PctWorkMomYoungKids, percentage of moms of kids 6 and under in labor force ,numeric - decimal
54, PctWorkMom, percentage of moms of kids under 18 in labor force ,numeric - decimal
55, NumIlleg, number of kids born to never married ,numeric - decimal
56, PctIlleg, percentage of kids born to never married ,numeric - decimal
57, NumImmig, total number of people known to be foreign born ,numeric - decimal
58, PctImmigRecent, percentage of _immigrants_ who immigated within last 3 years ,numeric - decimal
59, PctImmigRec5, percentage of _immigrants_ who immigated within last 5 years ,numeric - decimal
60, PctImmigRec8, percentage of _immigrants_ who immigated within last 8 years ,numeric - decimal
61, PctImmigRec10, percentage of _immigrants_ who immigated within last 10 years ,numeric - decimal
62, PctRecentImmig, percent of _population_ who have immigrated within the last 3 years ,numeric - decimal
63, PctRecImmig5, percent of _population_ who have immigrated within the last 5 years ,numeric - decimal
64, PctRecImmig8, percent of _population_ who have immigrated within the last 8 years ,numeric - decimal
65, PctRecImmig10, percent of _population_ who have immigrated within the last 10 years ,numeric - decimal
66, PctSpeakEnglOnly, percent of people who speak only English ,numeric - decimal
67, PctNotSpeakEnglWell, percent of people who do not speak English well ,numeric - decimal
68, PctLargHouseFam, percent of family households that are large (6 or more) ,numeric - decimal
69, PctLargHouseOccup, percent of all occupied households that are large (6 or more people) ,numeric - decimal
70, PersPerOccupHous, mean persons per household ,numeric - decimal
71, PersPerOwnOccHous, mean persons per owner occupied household ,numeric - decimal
72, PersPerRentOccHous, mean persons per rental household ,numeric - decimal
73, PctPersOwnOccup, percent of people in owner occupied households ,numeric - decimal
74, PctPersDenseHous, percent of persons in dense housing (more than 1 person per room) ,numeric - decimal
75, PctHousLess3BR, percent of housing units with less than 3 bedrooms ,numeric - decimal
76, MedNumBR, median number of bedrooms ,numeric - decimal
77, HousVacant, number of vacant households ,numeric - decimal
78, PctHousOccup, percent of housing occupied ,numeric - decimal
79, PctHousOwnOcc, percent of households owner occupied ,numeric - decimal
80, PctVacantBoarded, percent of vacant housing that is boarded up ,numeric - decimal
81, PctVacMore6Mos, percent of vacant housing that has been vacant more than 6 months ,numeric - decimal
82, MedYrHousBuilt, median year housing units built ,numeric - decimal
83, PctHousNoPhone," percent of occupied housing units without phone (in 1990, this was rare!) ",numeric - decimal
84, PctWOFullPlumb, percent of housing without complete plumbing facilities ,numeric - decimal
85, OwnOccLowQuart, owner occupied housing - lower quartile value ,numeric - decimal
86, OwnOccMedVal, owner occupied housing - median value ,numeric - decimal
87, OwnOccHiQuart, owner occupied housing - upper quartile value ,numeric - decimal
88, RentLowQ, rental housing - lower quartile rent ,numeric - decimal
89, RentMedian, rental housing - median rent (Census variable H32B from file STF1A) ,numeric - decimal
90, RentHighQ, rental housing - upper quartile rent ,numeric - decimal
91, MedRent, median gross rent (Census variable H43A from file STF3A - includes utilities) ,numeric - decimal
92, MedRentPctHousInc, median gross rent as a percentage of household income ,numeric - decimal
93, MedOwnCostPctInc, median owners cost as a percentage of household income - for owners with a mortgage ,numeric - decimal
94, MedOwnCostPctIncNoMtg, median owners cost as a percentage of household income - for owners without a mortgage ,numeric - decimal
95, NumInShelters, number of people in homeless shelters ,numeric - decimal
96, NumStreet, number of homeless people counted in the street ,numeric - decimal
97, PctForeignBorn, percent of people foreign born ,numeric - decimal
98, PctBornSameState, percent of people born in the same state as currently living ,numeric - decimal
99, PctSameHouse85, percent of people living in the same house as in 1985 (5 years before) ,numeric - decimal
100, PctSameCity85, percent of people living in the same city as in 1985 (5 years before) ,numeric - decimal
101, PctSameState85, percent of people living in the same state as in 1985 (5 years before) ,numeric - decimal
102, LemasSwornFT, number of sworn full time police officers ,numeric - decimal
103, LemasSwFTPerPop, sworn full time police officers per 100K population ,numeric - decimal
104, LemasSwFTFieldOps, number of sworn full time police officers in field operations (on the street as opposed to administrative etc) ,numeric - decimal
105, LemasSwFTFieldPerPop, sworn full time police officers in field operations (on the street as opposed to administrative etc) per 100K population ,numeric - decimal
106, LemasTotalReq, total requests for police ,numeric - decimal
107, LemasTotReqPerPop, total requests for police per 100K popuation ,numeric - decimal
108, PolicReqPerOffic, total requests for police per police officer ,numeric - decimal
109, PolicPerPop, police officers per 100K population ,numeric - decimal
110, RacialMatchCommPol, a measure of the racial match between the community and the police force. High values indicate proportions in community and police force are similar ,numeric - decimal
111, PctPolicWhite, percent of police that are caucasian ,numeric - decimal
112, PctPolicBlack, percent of police that are african american ,numeric - decimal
113, PctPolicHisp, percent of police that are hispanic ,numeric - decimal
114, PctPolicAsian, percent of police that are asian ,numeric - decimal
115, PctPolicMinor, percent of police that are minority of any kind ,numeric - decimal
116, OfficAssgnDrugUnits, number of officers assigned to special drug units ,numeric - decimal
117, NumKindsDrugsSeiz, number of different kinds of drugs seized ,numeric - decimal
118, PolicAveOTWorked, police average overtime worked ,numeric - decimal
119, LandArea, land area in square miles ,numeric - decimal
120, PopDens, population density in persons per square mile ,numeric - decimal
121, PctUsePubTrans, percent of people using public transit for commuting ,numeric - decimal
122, PolicCars, number of police cars ,numeric - decimal
123, PolicOperBudg, police operating budget ,numeric - decimal
124, LemasPctPolicOnPatr, percent of sworn full time police officers on patrol ,numeric - decimal
125, LemasGangUnitDeploy, gang unit deployed ,"numeric - decimal - but really ordinal - 0 means NO, 1 means YES, 0.5 means Part Time"
126, LemasPctOfficDrugUn, percent of officers assigned to drug units ,numeric - decimal
127, PolicBudgPerPop, police operating budget per population ,numeric - decimal
128, ViolentCrimesPerPop, total number of violent crimes per 100K popuation (numeric - decimal) GOAL attribute ,to be predicted
